started_UTC	stage	status	expected	runtime_s	command	log
2026-09-06T04:39:33.929865+00:00	bundle_regenerate_0	0	0	0.133	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/data /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_0.zip	logs/bundle_regenerate_0.log
2026-09-06T04:39:34.068402+00:00	bundle_regenerate_1	0	0	0.074	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/submission/biorxiv/source /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_1.zip	logs/bundle_regenerate_1.log
2026-09-06T04:39:34.147025+00:00	bundle_regenerate_2	0	0	0.078	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/submission/arxiv/source /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_2.zip	logs/bundle_regenerate_2.log
2026-09-06T04:39:34.229446+00:00	bundle_regenerate_3	0	0	0.076	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/submission/journal/source /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_3.zip	logs/bundle_regenerate_3.log
2026-09-06T04:39:34.320612+00:00	bundle_regenerate_4	0	0	0.078	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/external_audit/packets/reaction_network /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_4.zip	logs/bundle_regenerate_4.log
2026-09-06T04:39:34.417198+00:00	bundle_regenerate_5	0	0	0.076	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/external_audit/packets/pde /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_5.zip	logs/bundle_regenerate_5.log
2026-09-06T04:39:34.508922+00:00	bundle_regenerate_6	0	0	0.074	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/release/deterministic_zip.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot/external_audit/packets/symbolic /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/rebuilt_bundle_6.zip	logs/bundle_regenerate_6.log
2026-09-06T04:40:05.585620+00:00	mutation_extra_negative_certificate_terms	0	1	2.102	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/extra_terms_certificate.json	logs/mutation_extra_negative_certificate_terms.log
2026-09-06T04:41:01.340829+00:00	environment_inventory	0	0	1.205	python -c 'import platform,sys,importlib,zlib;print(platform.platform());print(sys.version);print(sys.executable);print("zlib",zlib.ZLIB_VERSION,zlib.ZLIB_RUNTIME_VERSION);[(lambda x:print(x.__name__,x.__version__))(importlib.import_module(n)) for n in ("matplotlib","numpy","pandas","pypdf","pytest","scipy","sympy")];print("optimize",sys.flags.optimize)'	logs/environment_inventory.log
2026-09-06T04:41:57.758211+00:00	certificate_containment	0	0	66.359	python certificate_containment.py	logs/certificate_containment.log
2026-09-06T04:41:57.812508+00:00	containment_extra_negative_terms	0	1	2.231	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/mutation_artifacts/extra_negative_terms.json	logs/containment_extra_negative_terms.log
2026-09-06T04:42:00.044979+00:00	containment_opposite_duplicate_first	0	1	2.071	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/mutation_artifacts/opposite_duplicate_first.json	logs/containment_opposite_duplicate_first.log
2026-09-06T04:42:02.117669+00:00	containment_opposite_duplicate_last	1	1	0.451	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/mutation_artifacts/opposite_duplicate_last.json	logs/containment_opposite_duplicate_last.log
2026-09-06T04:42:02.571289+00:00	containment_declared_counts_changed	1	1	0.396	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/mutation_artifacts/declared_counts_changed.json	logs/containment_declared_counts_changed.log
2026-09-06T04:42:02.968519+00:00	containment_unknown_block_metadata	0	0	2.063	python /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/scratch/full/independent_verifier/frontier_verify_mode_certificates.py /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/software/mutation_artifacts/unknown_block_metadata.json	logs/containment_unknown_block_metadata.log
2026-09-06T04:42:05.032869+00:00	containment_full_exposition	1	1	1.359	python independent_verifier/frontier_verify_exposition_identities.py	logs/containment_full_exposition.log
2026-09-06T04:42:06.392834+00:00	containment_full_symbolic_aggregate	1	1	28.218	python independent_verifier/verify_symbolic_certificates.py	logs/containment_full_symbolic_aggregate.log
2026-09-06T04:42:34.646431+00:00	containment_minimal_symbolic_aggregate	0	1	27.337	python verify_symbolic_certificates.py	logs/containment_minimal_symbolic_aggregate.log
2026-09-06T04:43:02.906948+00:00	containment_portable_manifest_gate	1	1	1.159	bash replay.sh	logs/containment_portable_manifest_gate.log
2026-09-06T04:44:38.085664+00:00	containment_unit_identical_duplicates	0	1	4.007	python independent_verifier/verify_mode_isolation.py	logs/containment_unit_identical_duplicates.log
2026-09-06T04:49:28.292695+00:00	strict_genuine_certificate_validation	0	0	0.673	python -c 'import sys,json,sympy as sp from pathlib import Path root=Path(sys.argv[1]);sys.path.insert(0,str(root/'"'"'independent_verifier'"'"')) import frontier_verify_mode_certificates as mod obj=json.loads((root/'"'"'independent_verifier/pareto_all_m_certificate.json'"'"').read_text()) Eh,Em,(x,z,s,A,U)=mod.generate() for name,P,parameter,count in [('"'"'homogeneous'"'"',sp.Poly(Eh,x,z),U,22),('"'"'spatial'"'"',sp.Poly(Em,x,z,s),A,84)]:  block=obj['"'"'modulus'"'"'][name]; raw=block['"'"'terms'"'"'];key='"'"'coefficient_in_U_ascending'"'"' if name=='"'"'homogeneous'"'"' else '"'"'coefficient_in_A_ascending'"'"'  assert len(raw)==count==block['"'"'term_count'"'"'];assert len({tuple(t['"'"'powers'"'"']) for t in raw})==len(raw)  actual={tuple(t['"'"'powers'"'"']):[sp.Rational(v) for v in t[key]] for t in raw}  expected={mon:list(reversed(sp.Poly(c,parameter).all_coeffs())) for mon,c in P.terms()}  assert actual==expected;print('"'"'STRICT_GENUINE_CERTIFICATE_PASS'"'"',name,count) unit=json.loads((root/'"'"'independent_verifier/improved_modulus_certificate.json'"'"').read_text()) for name,count in [('"'"'homogeneous'"'"',35),('"'"'improved_mode'"'"',77)]:  raw=unit[name]['"'"'terms'"'"'];assert len(raw)==count==unit[name]['"'"'term_count'"'"'];assert len({tuple(t['"'"'powers'"'"']) for t in raw})==len(raw);print('"'"'STRICT_GENUINE_TERM_CARDINALITY_UNIQUENESS_PASS'"'"',name,count) ' /Users/alec/Documents/Math/maximally_collective_stable_turing_patterns_binary_complex_mass_action_networks/independent_full_referee_2026-09-05/source_snapshot	logs/strict_genuine_certificate_validation.log
