source_index	target_index	relation
869	1499	equal
870	1500	equal
871	1501	equal
872	1502	equal
873	1503	equal
874	1504	equal
875	1505	equal
876	1506	equal
877	1507	equal
878	1508	equal
879	1509	equal
880	1510	equal
881	1511	equal
882	1512	equal
883	1513	equal
884	1514	equal
885	1515	equal
886	1516	equal
887	1517	equal
888	1518	equal
889	1519	equal
890	1520	equal
891	1521	equal
892	1522	equal
893	1523	equal
894	1524	equal
895	1525	equal
896	1526	equal
897	1527	equal
898	1528	equal
899	1529	equal
900	1530	equal
901	1531	equal
902	1532	equal
903	1533	equal
904	1534	equal
905	1535	equal
906	1536	equal
907	1537	equal
908	1538	equal
909	1539	equal
910	1540	equal
911	1541	equal
912	1542	equal
913	1543	equal
914	1544	equal
915	1545	equal
916	1546	equal
917	1547	equal
918	1548	equal
919	1549	equal
920	1550	equal
921	1551	equal
922	1552	equal
923	1553	equal
924	1554	equal
925	1555	equal
926	1556	equal
927	1557	equal
928	1558	equal
929	1559	equal
930	1560	equal
931	1561	equal
932	1562	equal
933	1563	equal
934	1564	equal
935	1565	equal
936	1566	equal
937	1567	equal
938	1568	equal
939	1569	equal
940	1570	equal
941	1571	equal
942	1572	equal
943	1573	equal
944	1574	equal
945	1575	equal
946	1576	equal
947	1577	equal
948	1578	equal
949	1579	equal
950	1580	equal
951	1581	equal
952	1582	equal
953	1583	equal
954	1584	equal
955	1585	equal
956	1586	equal
957	1587	equal
958	1588	equal
959	1589	equal
960	1590	equal
961	1591	equal
962	1592	equal
963	1593	equal
964	1594	equal
965	1595	equal
966	1596	equal
967	1597	equal
968	1598	equal
969	1599	equal
970	1600	equal
971	1601	equal
972	1602	equal
973	1603	equal
974	1604	equal
975	1605	equal
976	1606	equal
977	1607	equal
978	1608	equal
979	1609	equal
980	1610	equal
981	1611	equal
982	1612	equal
983	1613	equal
984	1614	equal
985	1615	equal
986	1616	equal
987	1617	equal
988	1618	equal
989	1619	equal
990	1620	equal
991	1621	equal
992	1622	equal
993	1623	equal
994	1624	equal
995	1625	equal
996	1626	equal
997	1627	equal
998	1628	equal
999	1629	equal
1000	1630	equal
1001	1631	equal
1002	1632	equal
1003	1633	equal
1004	1634	equal
1005	1635	equal
1006	1636	equal
1007	1637	equal
1008	1638	equal
1009	1639	equal
1010	1640	equal
1011	1641	equal
1012	1642	equal
1013	1643	equal
1014	1644	equal
1015	1645	equal
1016	1646	equal
1017	1647	equal
1018	1648	equal
1019	1649	equal
1020	1650	equal
1021	1651	equal
1022	1652	equal
1023	1653	equal
1024	1654	equal
1025	1655	equal
1026	1656	equal
1027	1657	equal
1028	1658	equal
1029	1659	equal
1030	1660	equal
1031	1661	equal
1032	1662	equal
1033	1663	equal
1034	1664	equal
1035	1665	equal
1036	1666	equal
1037	1667	equal
1038	1668	equal
1039	1669	equal
1040	1670	equal
1041	1671	equal
1042	1672	equal
1043	1673	equal
1044	1674	equal
1045	1675	equal
1046	1676	equal
1047	1677	equal
1048	1678	equal
1049	1679	equal
1050	1680	equal
1051	1681	equal
1052	1682	equal
1053	1683	equal
1054	1684	equal
1055	1685	equal
1056	1686	equal
1057	1687	equal
1058	1688	equal
1059	1689	equal
1060	1690	equal
1061	1691	equal
1062	1692	equal
1063	1693	equal
1064	1694	equal
1065	1695	equal
1066	1696	equal
1067	1697	equal
1068	1698	equal
1069	1699	equal
1070	1700	equal
1071	1701	equal
1072	1702	equal
1073	1703	equal
1074	1704	equal
1075	1705	equal
1076	1706	equal
1077	1707	equal
1078	1708	equal
1079	1709	equal
1080	1710	equal
1081	1711	equal
1082	1712	equal
1083	1713	equal
1084	1714	equal
1085	1715	equal
1086	1716	equal
1087	1717	equal
1088	1718	equal
1089	1719	equal
1090	1720	equal
1091	1721	equal
1092	1722	equal
1093	1723	equal
1094	1724	equal
1095	1725	equal
1096	1726	equal
1097	1727	equal
1098	1728	equal
1099	1729	equal
1100	1730	equal
1101	1731	equal
1102	1732	equal
1103	1733	equal
1104	1734	equal
1105	1735	equal
1106	1736	equal
1107	1737	equal
1108	1738	equal
1109	1739	equal
1110	1740	equal
1111	1741	equal
1112	1742	equal
1113	1743	equal
1114	1744	equal
1115	1745	equal
1116	1746	equal
1117	1747	equal
1118	1748	equal
1119	1749	equal
1120	1750	equal
1121	1751	equal
1122	1752	equal
1123	1753	equal
1124	1754	equal
1125	1755	equal
1126	1756	equal
1127	1757	equal
1128	1758	equal
1129	1759	equal
1130	1760	equal
1131	1761	equal
1132	1762	equal
1133	1763	equal
1134	1764	equal
1135	1765	equal
1136	1766	equal
1137	1767	equal
1138	1768	equal
1139	1769	equal
1140	1770	equal
1141	1771	equal
1142	1772	equal
1143	1773	equal
1144	1774	equal
1145	1775	equal
1146	1776	equal
1147	1777	equal
1148	1778	equal
1149	1779	equal
1150	1780	equal
1151	1781	equal
1152	1782	equal
1153	1783	equal
1154	1784	equal
1155	1785	equal
1156	1786	equal
1157	1787	equal
1158	1788	equal
1159	1789	equal
1160	1790	equal
1161	1791	equal
1162	1792	equal
1163	1793	equal
1164	1794	equal
1165	1795	equal
1166	1796	equal
1167	1797	equal
1168	1798	equal
1169	1799	equal
1170	1800	equal
1171	1801	equal
1172	1802	equal
1173	1803	equal
1174	1804	equal
1175	1805	equal
1176	1806	equal
1177	1807	equal
1178	1808	equal
1179	1809	equal
1180	1810	equal
1181	1811	equal
1182	1812	equal
1183	1813	equal
1184	1814	equal
1185	1815	equal
1186	1816	equal
1187	1817	equal
1188	1818	equal
1189	1819	equal
1190	1820	equal
1191	1821	equal
1192	1822	equal
1193	1823	equal
1194	1824	equal
1195	1825	equal
1196	1826	equal
1197	1827	equal
1198	1828	equal
1199	1829	equal
1200	1830	equal
1201	1831	equal
1202	1832	equal
1203	1833	equal
1204	1834	equal
1205	1835	equal
1206	1836	equal
1207	1837	equal
1208	1838	equal
1209	1839	equal
1210	1840	equal
1211	1841	equal
1212	1842	equal
1213	1843	equal
1214	1844	equal
1215	1845	equal
1216	1846	equal
1217	1847	equal
1218	1848	equal
1219	1849	equal
1220	1850	equal
1221	1851	equal
1222	1852	equal
1223	1853	equal
1224	1854	equal
1225	1855	equal
1226	1856	equal
1227	1857	equal
1228	1858	equal
1229	1859	equal
1230	1860	equal
1231	1861	equal
1232	1862	equal
1233	1863	equal
1234	1864	equal
1235	1865	equal
1236	1866	equal
1237	1867	equal
1238	1868	equal
1239	1869	equal
1240	1870	equal
1241	1871	equal
1242	1872	equal
1243	1873	equal
1244	1874	equal
1245	1875	equal
1246	1876	equal
1247	1877	equal
1248	1878	equal
1249	1879	equal
1250	1880	equal
1251	1881	equal
1252	1882	equal
1253	1883	equal
1254	1884	equal
1255	1885	equal
1256	1886	equal
1257	1887	equal
1258	1888	equal
1259	1889	equal
1260	1890	equal
1261	1891	equal
1262	1892	equal
1263	1893	equal
1264	1894	equal
1265	1895	equal
1266	1896	equal
1267	1897	equal
1268	1898	equal
1269	1899	equal
1270	1900	equal
1271	1901	equal
1272	1902	equal
1273	1903	equal
1274	1904	equal
1275	1905	equal
1276	1906	equal
1277	1907	equal
1278	1908	equal
1279	1909	equal
1280	1910	equal
1281	1911	equal
1282	1912	equal
1283	1913	equal
1284	1914	equal
1285	1915	equal
1286	1916	equal
1287	1917	equal
1288	1918	equal
1289	1919	equal
1290	1920	equal
1291	1921	equal
1292	1922	equal
1293	1923	equal
1294	1924	equal
1295	1925	equal
1296	1926	equal
1297	1927	equal
1298	1928	equal
1299	1929	equal
1300	1930	equal
1301	1931	equal
1302	1932	equal
1303	1933	equal
1304	1934	equal
1305	1935	equal
1306	1936	equal
1307	1937	equal
1308	1938	equal
1309	1939	equal
1310	1940	equal
1311	1941	equal
1312	1942	equal
1313	1943	equal
1314	1944	equal
1315	1945	equal
1316	1946	equal
1317	1947	equal
1318	1948	equal
1319	1949	equal
1320	1950	equal
1321	1951	equal
1322	1952	equal
1323	1953	equal
1324	1954	equal
1325	1955	equal
1326	1956	equal
1327	1957	equal
1328	1958	equal
1329	1959	equal
1330	1960	equal
1331	1961	equal
1332	1962	equal
1333	1963	equal
1334	1964	equal
1335	1965	equal
1336	1966	equal
1337	1967	equal
1338	1968	equal
1339	1969	equal
1340	1970	equal
1341	1971	equal
1342	1972	equal
1343	1973	equal
1344	1974	equal
1345	1975	equal
1346	1976	equal
1347	1977	equal
1348	1978	equal
1349	1979	equal
1350	1980	equal
1351	1981	equal
1352	1982	equal
1353	1983	equal
1354	1984	equal
1355	1985	equal
1356	1986	equal
1357	1987	equal
1358	1988	equal
1359	1989	equal
1360	1990	equal
1361	1991	equal
1362	1992	equal
1363	1993	equal
1364	1994	equal
1365	1995	equal
1366	1996	equal
1367	1997	equal
1368	1998	equal
1369	1999	equal
1370	2000	equal
1371	2001	equal
1372	2002	equal
1373	2003	equal
1374	2004	equal
1375	2005	equal
1376	2006	equal
1377	2007	equal
1378	2008	equal
1379	2009	equal
1380	2010	equal
1381	2011	equal
1382	2012	equal
1383	2013	equal
1384	2014	equal
1385	2015	equal
1386	2016	equal
1387	2017	equal
1388	2018	equal
1389	2019	equal
1390	2020	equal
1391	2021	equal
1392	2022	equal
1393	2023	equal
1394	2024	equal
1395	2025	equal
1396	2026	equal
1397	2027	equal
1398	2028	equal
1399	2029	equal
1400	2030	equal
1401	2031	equal
1402	2032	equal
1403	2033	equal
1404	2034	equal
1405	2035	equal
1406	2036	equal
1407	2037	equal
1408	2038	equal
1409	2039	equal
1410	2040	equal
1411	2041	equal
1412	2042	equal
1413	2043	equal
1414	2044	equal
1415	2045	equal
1416	2046	equal
1417	2047	equal
1418	2048	equal
1419	2049	equal
1420	2050	equal
1421	2051	equal
1422	2052	equal
1423	2053	equal
1424	2054	equal
1425	2055	equal
1426	2056	equal
1427	2057	equal
1428	2058	equal
1429	2059	equal
1430	2060	equal
1431	2061	equal
1432	2062	equal
1433	2063	equal
1434	2064	equal
1435	2065	equal
1436	2066	equal
1437	2067	equal
1438	2068	equal
1439	2069	equal
1440	2070	equal
1441	2071	equal
1442	2072	equal
1443	2073	equal
1444	2074	equal
1445	2075	equal
1446	2076	equal
1447	2077	equal
