'CyclicBell.pvm_source_fourier_reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.reducedBob' does not depend on any axioms
'CyclicBell.firstReducedValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.firstAugmentedValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.firstTargetValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.sourceLambda' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.bobFourier' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.secondReducedValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.secondAugmentedValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.FirstUpperBound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.SecondUpperBound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.four_swappedTarget_three32' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.first_four_Gval_three32' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.second_four_Gval_three32' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.guessingMinEntropy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.guessingMinEntropy_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.first_four_value_entropy_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.second_four_value_entropy_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.first_four_value_entropy_strict' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.second_four_value_entropy_strict' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.uniformOneDimensionalGuess' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.uniformGuess_not_projective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.closure_before_slice_control' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.general_floor_not_four_peak' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQa' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GvalQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GvalQa' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GvalQc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.tripartiteBehavior_mem_GuessQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.commutingExtended_mem_GuessQc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQ_subset_GuessQa' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQ_subset_GuessQc' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQ_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQa_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQc_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.forgetTripartite' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.forgetTripartite_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQ_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQa_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.GuessQc_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.finite_fixed_guess_three_models' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.three_model_Gval_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.paperGuessFloor' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.first_value_conditioned_guessing_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.second_value_conditioned_guessing_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.first_value_conditioned_strict_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.second_value_conditioned_strict_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.paperGuessFloor_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchoredStandardStrategy' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchored_preserves_standard' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchored_matching' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchor_displacement_rep' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchored_cross_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchored_cross_le_peak' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchored_cross_hits_peak' depends on axioms: [propext, Classical.choice, Quot.sound]
'CyclicBell.General.anchorPeak_gt_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
