# source_k6_atoms=51 rank_five_labeled=2012 distinct_triangle_count_vectors=1782
6,6,6,6,0,2,6,5,6,2,4,3,6,2,4,6,2,1,2,3,6,0,0,0,0,0,7,7,9,11,13,17,19,20,20,20,20,24,24,27,27,27,27,37,37,39,40,40,43,49,49,50,50,50,50,50
2,4,3,4,6,4,6,2,6,0,2,1,4,2,4,4,6,4,2,2,6,0,0,0,0,0,7,7,9,12,12,17,18,18,18,20,20,25,25,25,27,27,27,27,27,27,27,27,35,35,40,41,41,46,46,46
2,4,3,4,6,4,6,2,6,0,6,1,4,2,4,4,6,4,2,6,2,0,0,0,0,0,7,7,9,12,12,17,18,18,20,27,27,27,27,27,27,27,27,27,27,35,35,40,41,41,43,43,43,46,46,50
2,4,3,4,6,2,6,2,6,0,6,1,4,2,6,4,6,4,2,4,2,0,0,0,0,0,7,7,9,12,14,17,18,18,20,20,20,22,25,27,27,27,27,27,27,27,27,27,35,40,41,41,43,46,46,50
2,4,3,4,6,4,6,2,6,0,2,1,4,2,4,4,6,6,2,2,6,0,0,0,0,0,7,7,9,12,14,17,18,18,20,20,20,25,25,27,27,27,27,27,27,27,27,27,35,37,40,41,41,46,46,50
2,4,3,4,6,4,6,2,6,0,2,1,4,2,4,4,6,6,2,4,6,0,0,0,0,0,7,7,9,12,14,17,18,18,20,27,27,27,27,27,27,27,27,27,27,35,37,40,41,41,41,41,43,46,46,50
2,4,3,4,6,2,6,2,6,0,6,1,4,2,6,4,6,4,2,6,2,0,0,0,0,0,7,7,9,12,14,17,18,20,20,20,20,22,27,27,27,27,27,27,27,27,27,27,35,40,41,43,46,46,50,50
6,6,6,6,0,2,6,5,6,2,3,3,6,2,1,6,2,6,2,4,6,0,0,0,0,0,7,7,11,11,14,17,19,20,20,20,20,24,24,27,27,30,30,37,39,39,40,40,46,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,1,3,6,2,3,6,2,4,2,4,6,0,0,0,0,0,7,7,11,13,14,17,19,20,20,20,20,24,24,27,27,27,27,32,37,39,40,40,43,49,49,50,50,50,50,50
6,6,6,6,0,2,6,5,6,2,4,3,6,2,6,6,2,1,2,4,6,0,0,0,0,0,7,7,11,13,14,17,19,20,20,20,20,27,27,27,27,30,30,39,40,40,43,46,46,49,49,50,50,50,50,50
