source_index	target_index	relation
120	2555	strict
121	888	equal
122	889	equal
123	890	equal
123	1427	strict
124	891	equal
124	1432	strict
125	892	equal
126	893	equal
127	894	equal
127	8541	strict
128	895	equal
128	8561	strict
129	896	equal
129	6615	strict
130	897	equal
130	6616	strict
131	898	equal
131	16257	strict
132	899	equal
133	900	equal
133	1478	strict
134	901	equal
135	902	equal
136	903	equal
136	2717	strict
137	904	equal
138	905	equal
138	1491	strict
139	906	equal
140	907	equal
141	930	equal
141	969	strict
141	970	strict
141	1132	strict
141	1133	strict
141	4995	strict
142	932	equal
142	1136	strict
142	1137	strict
142	1173	strict
142	1675	strict
142	1677	strict
142	1781	strict
143	933	equal
143	972	strict
143	973	strict
143	1130	strict
143	1131	strict
143	7442	strict
144	934	equal
144	974	strict
144	976	strict
144	1171	strict
144	1676	strict
144	1678	strict
144	1782	strict
145	936	equal
145	937	strict
145	939	strict
145	949	strict
145	951	strict
145	954	strict
145	968	strict
145	970	strict
145	4955	strict
145	5575	strict
145	5585	strict
145	5588	strict
145	5589	strict
145	5591	strict
145	5593	strict
146	937	equal
146	968	strict
146	970	strict
146	5575	strict
146	5593	strict
147	941	equal
147	949	strict
147	950	strict
147	951	strict
147	958	strict
147	1141	strict
147	1143	strict
147	1172	strict
147	4952	strict
147	5576	strict
147	5577	strict
147	5578	strict
147	5585	strict
147	5589	strict
147	5591	strict
147	5593	strict
147	11026	strict
148	942	equal
148	952	strict
148	962	strict
148	963	strict
148	964	strict
148	971	strict
148	976	strict
148	1165	strict
148	4953	strict
148	5579	strict
148	5580	strict
148	5581	strict
148	5603	strict
148	5604	strict
148	5609	strict
148	5611	strict
148	11029	strict
149	944	equal
149	945	strict
149	946	strict
149	959	strict
149	962	strict
149	964	strict
149	973	strict
149	975	strict
149	4961	strict
149	5603	strict
149	5604	strict
149	5607	strict
149	5609	strict
149	5611	strict
149	7443	strict
149	11024	strict
150	945	equal
150	5611	strict
150	11024	strict
151	948	equal
151	5593	strict
152	949	equal
152	951	strict
152	5585	strict
152	5589	strict
152	5591	strict
152	5593	strict
153	950	equal
153	5593	strict
154	952	equal
155	954	equal
156	955	equal
157	957	equal
157	5611	strict
158	958	equal
159	959	equal
160	960	equal
161	962	equal
161	964	strict
161	5603	strict
161	5604	strict
161	5609	strict
161	5611	strict
162	963	equal
162	5611	strict
163	970	equal
164	971	equal
164	1165	strict
165	972	equal
165	7442	strict
166	973	equal
167	974	equal
167	1171	strict
168	975	equal
168	7443	strict
169	976	equal
170	1005	equal
170	1006	strict
170	1007	strict
170	4966	strict
170	5681	strict
170	5683	strict
170	5717	strict
170	5718	strict
170	5719	strict
170	5721	strict
170	5725	strict
170	5730	strict
170	6617	strict
170	7130	strict
170	7436	strict
170	11093	strict
171	1006	equal
171	5725	strict
171	11093	strict
172	1010	equal
172	1011	strict
172	1012	strict
172	4969	strict
172	5684	strict
172	5686	strict
172	5726	strict
172	5732	strict
172	5733	strict
172	5736	strict
172	5738	strict
172	5740	strict
172	6618	strict
172	6621	strict
172	7437	strict
172	11095	strict
173	1011	equal
173	5740	strict
173	11095	strict
174	1030	equal
174	1399	strict
174	1401	strict
174	1682	strict
174	1686	strict
174	2577	strict
175	1031	equal
175	1403	strict
175	1405	strict
175	1683	strict
175	1687	strict
175	11389	strict
176	1076	equal
176	1078	strict
177	1078	equal
178	1079	equal
178	1081	strict
179	1081	equal
180	1084	equal
181	1085	equal
182	1087	equal
183	1088	equal
184	1098	equal
184	1099	strict
184	1101	strict
184	1112	strict
184	1115	strict
184	1117	strict
184	1129	strict
184	1131	strict
184	7006	strict
184	7026	strict
184	7029	strict
184	7030	strict
184	7033	strict
184	7035	strict
184	8376	strict
185	1099	equal
185	1129	strict
185	1131	strict
185	7006	strict
185	7035	strict
186	1102	equal
186	1103	strict
186	1105	strict
186	1109	strict
186	1110	strict
186	1125	strict
186	1133	strict
186	1134	strict
186	4996	strict
186	7019	strict
186	7020	strict
186	7042	strict
186	7046	strict
186	7048	strict
186	7062	strict
186	8374	strict
187	1103	equal
187	7048	strict
187	7062	strict
188	1106	equal
188	1112	strict
188	1113	strict
188	1115	strict
188	1121	strict
188	1141	strict
188	1142	strict
188	1167	strict
188	7013	strict
188	7015	strict
188	7021	strict
188	7026	strict
188	7030	strict
188	7033	strict
188	7035	strict
188	7064	strict
188	8371	strict
189	1107	equal
189	1108	strict
189	1110	strict
189	1123	strict
189	1125	strict
189	1135	strict
189	1136	strict
189	1163	strict
189	7014	strict
189	7016	strict
189	7019	strict
189	7020	strict
189	7022	strict
189	7046	strict
189	7048	strict
189	7066	strict
189	8372	strict
190	1108	equal
191	1109	equal
192	1110	equal
192	1125	strict
192	7019	strict
192	7020	strict
192	7046	strict
192	7048	strict
193	1111	equal
193	7035	strict
194	1112	equal
194	1115	strict
194	7026	strict
194	7030	strict
194	7033	strict
194	7035	strict
195	1113	equal
195	7035	strict
196	1116	equal
197	1117	equal
198	1118	equal
199	1121	equal
200	1122	equal
200	7048	strict
201	1123	equal
201	7048	strict
202	1131	equal
203	1132	equal
203	4995	strict
204	1133	equal
205	1134	equal
205	4996	strict
206	1135	equal
206	1163	strict
207	1136	equal
208	1137	equal
208	1173	strict
209	1141	equal
210	1142	equal
210	1167	strict
211	1143	equal
211	1172	strict
212	1163	equal
213	1165	equal
214	1167	equal
215	1171	equal
216	1172	equal
217	1173	equal
218	1197	equal
218	1213	strict
218	1214	strict
218	2074	strict
218	2075	strict
218	4994	strict
219	1205	equal
219	1206	strict
219	1208	strict
219	1212	strict
219	1214	strict
219	2088	strict
219	2090	strict
219	2093	strict
219	5001	strict
219	12547	strict
219	12551	strict
219	12554	strict
219	12555	strict
219	12557	strict
219	12559	strict
220	1206	equal
220	1212	strict
220	1214	strict
220	12547	strict
220	12559	strict
221	1214	equal
222	1263	equal
222	1265	strict
222	1267	strict
222	2450	strict
222	7013	strict
222	7015	strict
222	7026	strict
222	7028	strict
222	7030	strict
222	7033	strict
222	7035	strict
222	7036	strict
222	7073	strict
222	8448	strict
222	15087	strict
222	15337	strict
223	1264	equal
223	1266	strict
223	1268	strict
223	2451	strict
223	7014	strict
223	7016	strict
223	7017	strict
223	7019	strict
223	7020	strict
223	7041	strict
223	7046	strict
223	7048	strict
223	7074	strict
223	8449	strict
223	15088	strict
223	15189	strict
224	1267	equal
224	7035	strict
224	7073	strict
225	1268	equal
225	7048	strict
225	7074	strict
226	1271	equal
226	1272	strict
226	1273	strict
226	1310	strict
226	1433	strict
226	1446	strict
226	1447	strict
226	1472	strict
226	2453	strict
226	7120	strict
226	7121	strict
226	7123	strict
226	7126	strict
226	7128	strict
226	7156	strict
226	8490	strict
227	1273	equal
227	7128	strict
227	7156	strict
228	1278	equal
228	1279	strict
228	1280	strict
228	2438	strict
228	2478	strict
228	6983	strict
228	8143	strict
228	8144	strict
