canonical_graph6,n,m,origin_count,gamma,alpha,earliest_forced_rank,latest_forced_rank,full_kernel_deletion_depth
K@XTZy]k^KzF,12,37,4,2,3,,,
K@X\RaUn^NZ[,12,37,4,3,3,2,3,3
K@YQzemm]w{l,12,37,4,3,3,2,3,3
K@YTdx[\mV|s,12,37,4,3,3,2,3,3
K@YizeUm]p{l,12,37,4,3,3,2,3,3
K@^NDjZnaNmx,12,39,4,2,3,,,
K@`Jji|nfTZJ,12,37,2,3,3,3,3,3
K@`ZZeynUR}d,12,37,4,3,3,2,3,3
K@`ZbixneV|s,12,37,4,3,3,2,4,4
K@`\Dpm]}n^o,12,37,4,3,4,,,
K@`\D|m]ml^B,12,37,4,2,4,,,
K@`lLt]]]d~`,12,37,4,2,4,,,
K@d\lpk[]N|U,12,37,4,3,3,1,3,3
K@dd\d]]]J~`,12,37,4,3,3,2,3,3
K@ea{lm[^R~a,12,37,4,3,4,,,
K@ecjX^[nU~a,12,37,4,3,4,,,
K@iY|Hj\]f^B,12,37,4,3,4,,,
K@iZTL]\]f^B,12,37,4,3,4,,,
K@iZTl]\MF~B,12,37,4,3,3,2,3,3
K@ltjrks}]B~,12,40,2,2,4,,,
K@l|bfNuVKf~,12,41,1,2,3,,,
K@l|bfNuVKx~,12,41,1,2,3,,,
K@l|bfNuVK~~,12,43,1,1,3,,,
K@l|bfXrvLW~,12,40,4,2,3,,,
K@qz|pxtNEw~,12,40,1,2,3,,,
K@relyy^JuH~,12,40,2,2,3,,,
K@yztdsu]NW~,12,40,2,2,3,,,
KAHHbL}fc}~I,12,35,2,3,4,,,
KAHHbq^fnM~o,12,36,2,3,4,,,
KAHbsq\r|n^g,12,37,2,3,4,,,
KAHbzq[emZum,12,36,2,3,4,,,
KAHb{u\r\j^B,12,37,2,2,4,,,
KAHzsq\q|f[j,12,37,2,3,3,1,3,3
KAL@G{^[jY~o,12,33,1,3,4,,,
KAL@Jdlfk}~o,12,35,1,3,4,,,
KAL@J|qZK{rt,12,34,1,3,4,,,
KAL@J}]fnc|d,12,36,1,2,4,,,
KAL@K}^{nY~o,12,37,1,2,4,,,
KALrZq[elJw^,12,36,2,3,3,2,3,3
KALr[yZh]F~B,12,37,2,3,3,2,3,3
KAQZb]il\|^E,12,37,4,3,4,,,
KAXLrmdlK|~E,12,37,4,3,4,,,
KAYZa]bl\|^E,12,37,4,3,4,,,
KA`Hx}rx^x^Q,12,38,4,2,4,,,
KArP`ufZ|}^S,12,38,4,3,3,3,4,4
KAvP`tflt^\U,12,38,4,3,3,3,3,4
KBL_O[vZafzw,12,33,4,3,4,,,
KBYAZmlldtze,12,37,4,3,3,2,3,3
KBYiRmFkltze,12,37,4,3,3,2,3,3
KBYza]bikjzF,12,37,4,3,3,2,3,3
KBZLma|yo^mx,12,39,4,3,4,,,
KBsr\ymtNEw~,12,40,4,2,3,,,
KBstZ]{p^cw~,12,40,4,2,3,,,
KCMlqp\W}N}i,12,37,4,3,3,2,3,3
KCR@xun\vy^E,12,38,2,2,4,,,
KCRXpun\vq[V,12,38,2,2,3,,,
KCRXxuj[vJ~E,12,38,2,2,3,,,
KCVPxtfg~Y~E,12,38,4,3,3,3,4,4
KCVXptfh~d\J,12,38,2,2,3,,,
KC\ajUdk||Ze,12,37,4,3,3,1,3,3
KCbPxtn[vY~E,12,38,4,3,4,,,
KCbXptn\vd\J,12,38,2,2,4,,,
KCvHplvYtM}F,12,38,4,2,3,,,
KCvUHgr]zZT\,12,37,4,3,3,2,3,3
KDKJ|XlvMn[y,12,39,4,3,4,,,
KDKJ|Xl|MnXy,12,39,4,2,4,,,
KDL|RVXtvLX~,12,41,4,2,3,,,
KDL|RVptu\X~,12,41,4,2,3,,,
KDQLKtj^Rl~c,12,37,4,3,4,,,
KDTBjUdj[|~c,12,37,4,3,4,,,
KDW|ZjbvMuW~,12,40,2,2,3,,,
KDW|Zjwp}uW~,12,40,2,2,3,,,
KDYD[tL\Zl~c,12,37,4,3,4,,,
KDZFxyl\Upw^,12,39,2,2,4,,,
KD[zLNqr]uW~,12,40,4,2,3,,,
KDgzZjqr]uW~,12,40,4,2,3,,,
KDoz|Xd}MfW~,12,40,4,2,3,,,
KDszZiey]fW~,12,40,4,2,3,,,
KDwr|XdvMfW~,12,40,4,2,3,,,
KD{rZier]fW~,12,40,4,2,3,,,
KEGLzy|^fHxx,12,39,2,3,4,,,
KEIztt{q^Kx~,12,41,2,2,3,,,
KEKLzylZfhw},12,39,2,2,4,,,
KEMztTk{]NX~,12,41,2,2,3,,,
KEotZY|^feW~,12,40,2,2,4,,,
KErHPMz]tmm{,12,38,1,3,3,3,4,4
KF?lzylZexx],12,39,2,2,4,,,
KFIztTku]NX~,12,41,2,2,3,,,
KFlp\Lis}ZJ~,12,41,4,2,3,,,
KFlp\Lis}ZZ~,12,42,2,2,3,,,
KFodZY|^emW~,12,40,2,2,3,,,
KFslZYt\eFw~,12,40,2,2,3,,,
KHr~DuUUhrh~,12,40,4,2,3,,,
KHz^CuuTprh~,12,40,4,2,3,,,
KI?g|c|vNU~o,12,36,4,3,4,,,
KI?g|d[Yxz^o,12,34,4,3,4,,,
KI?x{}mzUt~K,12,39,2,2,4,,,
KIAXPkzunY~o,12,36,4,3,4,,,
KIKyFfitk~Ty,12,38,2,3,4,,,
KIK{|Zit^eX~,12,41,2,2,3,,,
KISGh]qN^\]w,12,35,4,3,4,,,
KISKhclN^l\w,12,35,4,3,4,,,
KISOXkmm^l\w,12,35,2,3,4,,,
KISOXyjzflUy,12,36,4,3,4,,,
KISO\onzflUy,12,36,4,3,4,,,
KISPP}MzNlUy,12,36,4,3,4,,,
KITglON{|lVX,12,36,4,3,4,,,
KITj_miB|ivL,12,35,4,3,4,,,
KITj_milS^vM,12,36,4,3,4,,,
KITohWzbvSu\,12,35,4,3,4,,,
KITohYNylevX,12,36,4,3,4,,,
KIToloMJ~TU\,12,35,4,3,4,,,
KITrO]VmTdtj,12,36,4,3,4,,,
KITshWNylrUZ,12,36,4,3,4,,,
KITshWxB~Su\,12,35,4,3,4,,,
KIWHpm]|MySz,12,36,4,3,4,,,
KIW\@wNunlUy,12,36,4,3,4,,,
KIXPdMYRxz^o,12,35,2,3,4,,,
KIXWXgZhvdv[,12,35,4,3,4,,,
KIXWpIN{|uUx,12,36,2,3,4,,,
KIXZ_seb|rUl,12,35,2,3,4,,,
KIX[XgZ{lrSz,12,36,4,3,4,,,
KIXsxGNu\bvX,12,36,4,3,4,,,
KI[G|WuK}i{t,12,35,4,3,4,,,
KI[HW{tkmk{l,12,35,4,3,4,,,
KI[H`]]tVLuy,12,36,4,3,4,,,
KI[L`W^tVLuy,12,36,4,2,4,,,
KI[oxYJs^Luy,12,36,4,3,4,,,
