seed_id,pair_index,first_vertex,second_vertex,toggle_action,raw_graph6,canonical_graph6,category
ET-0002,32,3,9,delete,J@l|bfNqVK_,JBbLRNZnR{?,gamma_below_eternal
ET-0002,33,3,10,add,J@l|bfNuVk_,JDYjeN]Nvq_,gamma_below_eternal
ET-0002,34,4,5,delete,J@ltbfNuVK_,JK`Hx~it^w?,gamma_below_eternal
ET-0002,35,4,6,add,J@l|rfNuVK_,J@\u^RTltt_,gamma_below_eternal
ET-0002,36,4,7,add,J@l|bvNuVK_,J@lu]bllru_,gamma_below_eternal
ET-0002,37,4,8,delete,J@l|bfFuVK_,JLPK|O~vVM?,gamma_below_eternal
ET-0002,38,4,9,delete,J@l|bfNsVK_,JLOmQ}\xl{?,gamma_below_eternal
ET-0002,39,4,10,add,J@l|bfNuV[_,J@]rmfMm^Y_,gamma_below_eternal
ET-0002,40,5,6,add,J@l|jfNuVK_,J@lu]bllru_,gamma_below_eternal
ET-0002,41,5,7,add,J@l|bnNuVK_,J@\u^RTltt_,gamma_below_eternal
ET-0002,42,5,8,delete,J@l|bfJuVK_,JLPK|O~vVM?,gamma_below_eternal
ET-0002,43,5,9,add,J@l|bfNvVK_,J@]rmfMm^Y_,gamma_below_eternal
ET-0002,44,5,10,delete,J@l|bfNuVC_,JLOmQ}\xl{?,gamma_below_eternal
ET-0002,45,6,7,delete,J@l|bbNuVK_,JK`Hx~it^w?,gamma_below_eternal
ET-0002,46,6,8,delete,J@l|bfLuVK_,JLPK|O~vVM?,gamma_below_eternal
ET-0002,47,6,9,add,J@l|bfNuvK_,J@]rmfMm^Y_,gamma_below_eternal
ET-0002,48,6,10,delete,J@l|bfNuVG_,JLOmQ}\xl{?,gamma_below_eternal
ET-0002,49,7,8,delete,J@l|bfMuVK_,JLPK|O~vVM?,gamma_below_eternal
ET-0002,50,7,9,delete,J@l|bfNuFK_,JLOmQ}\xl{?,gamma_below_eternal
ET-0002,51,7,10,add,J@l|bfNuVM_,J@]rmfMm^Y_,gamma_below_eternal
ET-0002,52,8,9,add,J@l|bfNu^K_,J@ltjrks}]_,gamma_below_eternal
ET-0002,53,8,10,add,J@l|bfNuVL_,J@ltjrks}]_,gamma_below_eternal
ET-0002,54,9,10,delete,J@l|bfNuVK?,J]G]D\mfi}?,gamma_below_eternal
ET-0003,0,0,1,add,J`pi~JRnLu?,J`MrlXjvMu?,gamma_below_eternal
ET-0003,1,0,2,add,JPpi~JRnLu?,JD\lZiVwup_,gamma_below_eternal
ET-0003,2,0,3,add,JDpi~JRnLu?,JD\lZiVwup_,gamma_below_eternal
ET-0003,3,0,4,delete,J@Pi~JRnLu?,JGFU\yy\JU_,gamma_below_eternal
ET-0003,4,0,5,add,J@ri~JRnLu?,JRjAo\|lu}?,gamma_below_eternal
ET-0003,5,0,6,add,J@pm~JRnLu?,JRjAo\|lu}?,gamma_below_eternal
ET-0003,6,0,7,delete,J@pizJRnLu?,J@VDlziXY{_,gamma_below_eternal
ET-0003,7,0,8,delete,J@pi~HRnLu?,J@VDlziXY{_,gamma_below_eternal
ET-0003,8,0,9,delete,J@pi~JRNLu?,J@NVD^YRZk_,gamma_below_eternal
ET-0003,9,0,10,delete,J@pi~JRnHu?,J@NVD^YRZk_,gamma_below_eternal
ET-0003,10,1,2,add,JHpi~JRnLu?,J@l|bfNuVK_,gamma_below_eternal
ET-0003,11,1,3,add,JBpi~JRnLu?,J@l|bfNuVK_,gamma_below_eternal
ET-0003,12,1,4,delete,J@`i~JRnLu?,JAJe\iZ^Ju?,gamma_below_eternal
ET-0003,13,1,5,delete,J@oi~JRnLu?,J?NVDnkUz{?,gamma_below_eternal
ET-0003,14,1,6,delete,J@pg~JRnLu?,J?NVDnkUz{?,gamma_below_eternal
ET-0003,15,1,7,delete,J@pi|JRnLu?,JAMeK~sYz{?,gamma_below_eternal
ET-0003,16,1,8,delete,J@pi~IRnLu?,JAMeK~sYz{?,gamma_below_eternal
ET-0003,17,1,9,add,J@pi~JR~Lu?,JGd\`~Uy^{?,gamma_below_eternal
ET-0003,18,1,10,add,J@pi~JRnNu?,JGd\`~Uy^{?,gamma_below_eternal
ET-0003,19,2,3,delete,J?pi~JRnLu?,J?Mj\hrvMu?,gamma_below_eternal
ET-0003,20,2,4,add,J@xi~JRnLu?,J@llaneu]}?,gamma_below_eternal
ET-0003,21,2,5,delete,J@pI~JRnLu?,J_FnDtY\X|?,gamma_below_eternal
ET-0003,22,2,6,add,J@pj~JRnLu?,JFhkQMv]u}?,gamma_below_eternal
ET-0003,23,2,7,delete,J@pi}JRnLu?,J_NfSxR^Hn?,gamma_below_eternal
ET-0003,24,2,8,add,J@pi~JrnLu?,JCluA}uY~{?,gamma_below_eternal
ET-0003,25,2,9,delete,J@pi~JRfLu?,JhBTS|M]X|?,gamma_below_eternal
ET-0003,26,2,10,delete,J@pi~JRnKu?,JhBS\tiVX|?,gamma_below_eternal
ET-0003,27,3,4,add,J@ti~JRnLu?,J@llaneu]}?,gamma_below_eternal
ET-0003,28,3,5,add,J@py~JRnLu?,JFhkQMv]u}?,gamma_below_eternal
ET-0003,29,3,6,delete,J@pi^JRnLu?,J_FnDtY\X|?,gamma_below_eternal
ET-0003,30,3,7,add,J@pi~jRnLu?,JCluA}uY~{?,gamma_below_eternal
ET-0003,31,3,8,delete,J@pi~JBnLu?,J_NfSxR^Hn?,gamma_below_eternal
ET-0003,32,3,9,delete,J@pi~JRjLu?,JhBS\tiVX|?,gamma_below_eternal
ET-0003,33,3,10,delete,J@pi~JRnLU?,JhBTS|M]X|?,gamma_below_eternal
ET-0003,34,4,5,delete,J@pa~JRnLu?,JUHB|jWZ[^?,gamma_below_eternal
ET-0003,35,4,6,delete,J@pinJRnLu?,JUHB|jWZ[^?,gamma_below_eternal
ET-0003,36,4,7,add,J@pi~ZRnLu?,J@X]liyr^U_,gamma_below_eternal
ET-0003,37,4,8,add,J@pi~JZnLu?,J@X]liyr^U_,gamma_below_eternal
ET-0003,38,4,9,delete,J@pi~JRlLu?,J[dElXwRxn?,gamma_below_eternal
ET-0003,39,4,10,delete,J@pi~JRnLe?,J[dElXwRxn?,gamma_below_eternal
ET-0003,40,5,6,delete,J@pivJRnLu?,JqKFMilVh}?,gamma_below_eternal
ET-0003,41,5,7,delete,J@pi~BRnLu?,Jr`E\X\Mhm_,gamma_below_eternal
ET-0003,42,5,8,add,J@pi~JVnLu?,J@ZMdi}VvU_,gamma_below_eternal
ET-0003,43,5,9,delete,J@pi~JRmLu?,Jm_c|XmUXm_,gamma_below_eternal
ET-0003,44,5,10,add,J@pi~JRnL}?,J@p^EmxZl{_,gamma_below_eternal
ET-0003,45,6,7,add,J@pi~NRnLu?,J@ZMdi}VvU_,gamma_below_eternal
ET-0003,46,6,8,delete,J@pi~JPnLu?,Jr`E\X\Mhm_,gamma_below_eternal
ET-0003,47,6,9,add,J@pi~JRnlu?,J@p^EmxZl{_,gamma_below_eternal
ET-0003,48,6,10,delete,J@pi~JRnLq?,Jm_c|XmUXm_,gamma_below_eternal
ET-0003,49,7,8,delete,J@pi~JQnLu?,J]`LZYXThf_,gamma_below_eternal
ET-0003,50,7,9,add,J@pi~JRn\u?,J@pZ^Eyt\y_,gamma_below_eternal
ET-0003,51,7,10,delete,J@pi~JRnLs?,JjiCxZDLyv?,gamma_below_eternal
ET-0003,52,8,9,delete,J@pi~JRnDu?,JjiCxZDLyv?,gamma_below_eternal
ET-0003,53,8,10,add,J@pi~JRnLv?,J@pZ^Eyt\y_,gamma_below_eternal
ET-0003,54,9,10,add,J@pi~JRnLu_,J@qk~JR^Ju_,gamma_below_eternal
ET-0004,0,0,1,add,J`qQz^dmnw?,J`Mbi}\ynw?,gamma_below_eternal
ET-0004,1,0,2,add,JPqQz^dmnw?,JBir\LZ}Ux?,gamma_below_eternal
ET-0004,2,0,3,add,JDqQz^dmnw?,J@di|ze{vp?,gamma_below_eternal
ET-0004,3,0,4,delete,J@QQz^dmnw?,JGEenV{V`y_,gamma_below_eternal
ET-0004,4,0,5,delete,J@oQz^dmnw?,J?ND^f{Vbi_,gamma_below_eternal
ET-0004,5,0,6,add,J@qUz^dmnw?,JRhW[ff]u}?,gamma_below_eternal
ET-0004,6,0,7,add,J@qQ~^dmnw?,JRNI_^jlu}?,gamma_below_eternal
ET-0004,7,0,8,delete,J@qQz\dmnw?,J@VDTzuXq{_,gamma_below_eternal
ET-0004,8,0,9,delete,J@qQz^dMnw?,J@MeezmRrk_,gamma_below_eternal
ET-0004,9,0,10,delete,J@qQz^dmjw?,J@]mTfTTjM_,gamma_below_eternal
ET-0004,10,1,2,add,JHqQz^dmnw?,J@l|bfNuVK_,gamma_below_eternal
ET-0004,11,1,3,add,JBqQz^dmnw?,J@hztfYvVJ?,gamma_below_eternal
ET-0004,12,1,4,delete,J@aQz^dmnw?,JAJLfNwFz{?,gamma_below_eternal
ET-0004,13,1,5,add,J@rQz^dmnw?,JPxo{fdU}}?,gamma_below_eternal
ET-0004,14,1,6,delete,J@qOz^dmnw?,J?NVDnkUz{?,gamma_below_eternal
ET-0004,15,1,7,delete,J@qQx^dmnw?,J?MvMvgVjj?,gamma_below_eternal
ET-0004,16,1,8,delete,J@qQz]dmnw?,JAMeK~sYz{?,gamma_below_eternal
ET-0004,17,1,9,add,J@qQz^d}nw?,JGd\`~F}N{?,gamma_below_eternal
ET-0004,18,1,10,delete,J@qQz^dmlw?,J@]TM^aVjj?,gamma_below_eternal
ET-0004,19,2,3,delete,J?qQz^dmnw?,J?Ma{|uy^w?,gamma_below_eternal
ET-0004,20,2,4,add,J@yQz^dmnw?,J@]nchfu]}?,gamma_below_eternal
ET-0004,21,2,5,add,J@qqz^dmnw?,JBg~Clmu]}?,gamma_below_eternal
ET-0004,22,2,6,add,J@qRz^dmnw?,JBYsYflmu}?,gamma_below_eternal
ET-0004,23,2,7,delete,J@qQy^dmnw?,J_FnDtY\X|?,gamma_below_eternal
ET-0004,24,2,8,delete,J@qQz^Dmnw?,J_NvSpRZXn?,gamma_below_eternal
ET-0004,25,2,9,delete,J@qQz^denw?,JhB[TtiTx|?,gamma_below_eternal
ET-0004,26,2,10,delete,J@qQz^dmmw?,JhJSS|M[x|?,gamma_below_eternal
ET-0004,27,3,4,add,J@uQz^dmnw?,J@|danef]}?,gamma_below_eternal
ET-0004,28,3,5,delete,J@qAz^dmnw?,J_FVtXh^Hn?,gamma_below_eternal
ET-0004,29,3,6,delete,J@qQZ^dmnw?,J_FndTX\X|?,gamma_below_eternal
ET-0004,30,3,7,add,J@qQz~dmnw?,JFWq[Nlmu}?,gamma_below_eternal
ET-0004,31,3,8,add,J@qQz^tmnw?,J@dla~F}N{?,gamma_below_eternal
ET-0004,32,3,9,delete,J@qQz^dinw?,JhB\SlJ]X|?,gamma_below_eternal
ET-0004,33,3,10,delete,J@qQz^dmnW?,JhJS\dJVX|?,gamma_below_eternal
ET-0004,34,4,5,add,J@qYz^dmnw?,J@ejvNoV]\_,gamma_below_eternal
ET-0004,35,4,6,delete,J@qQj^dmnw?,JhED}zgLY\_,gamma_below_eternal
ET-0004,36,4,7,delete,J@qQzNdmnw?,JUHB|jWZ[^?,gamma_below_eternal
ET-0004,37,4,8,add,J@qQz^lmnw?,J@Ukzfwp~Y_,gamma_below_eternal
ET-0004,38,4,9,delete,J@qQz^dknw?,JtOJ|ZSFZF_,gamma_below_eternal
ET-0004,39,4,10,delete,J@qQz^dmng?,Jt`Jn?nFYu_,gamma_below_eternal
ET-0004,40,5,6,delete,J@qQr^dmnw?,JqID}XsNYv?,gamma_below_eternal
ET-0004,41,5,7,delete,J@qQzVdmnw?,JbID}zgJYl_,gamma_below_eternal
ET-0004,42,5,8,delete,J@qQz^`mnw?,JkMB}qsJYN_,gamma_below_eternal
ET-0004,43,5,9,add,J@qQz^dnnw?,J@VJ^Fse|y_,gamma_below_eternal
ET-0004,44,5,10,delete,J@qQz^dmno?,J{U@{hLJzf?,gamma_below_eternal
ET-0004,45,6,7,delete,J@qQzZdmnw?,JpSFLi]ZY}?,gamma_below_eternal
ET-0004,46,6,8,add,J@qQz^fmnw?,J@Y]TfuVvY_,gamma_below_eternal
ET-0004,47,6,9,delete,J@qQz^dmNw?,Jy_S|XmUXm_,gamma_below_eternal
ET-0004,48,6,10,add,J@qQz^dmn{?,J@pT^Lxfnw_,gamma_below_eternal
