# orbit_index,c01,c02,c03,c04,c12,c13,c14,c23,c24,c34
2,6,2,2,4,0,4,6,4,2,2
2,6,2,2,4,4,0,6,4,2,2
2,6,2,4,2,0,6,4,2,4,2
2,6,2,4,2,4,6,0,2,4,2
2,6,4,0,6,2,2,4,4,2,2
2,6,4,2,2,6,0,4,2,2,4
2,6,4,2,2,6,4,0,2,2,4
2,6,4,6,0,2,4,2,2,4,2
2,6,6,0,4,4,2,2,2,2,4
2,6,6,4,0,4,2,2,2,2,4
3,0,2,3,5,6,5,3,3,5,0
3,0,2,5,3,6,3,5,5,3,0
3,0,3,2,5,5,6,3,3,0,5
3,0,3,3,5,5,5,3,2,0,6
3,0,3,3,5,5,5,3,2,6,0
3,0,3,5,2,5,3,6,0,3,5
3,0,3,5,3,5,3,5,0,2,6
3,0,3,5,3,5,3,5,6,2,0
3,0,3,5,5,5,3,3,0,6,2
3,0,3,5,5,5,3,3,6,0,2
3,0,3,5,6,5,3,2,0,5,3
3,0,3,6,5,5,2,3,5,0,3
3,0,5,2,3,3,6,5,5,0,3
3,0,5,3,2,3,5,6,0,5,3
3,0,5,3,3,3,5,5,0,6,2
3,0,5,3,3,3,5,5,6,0,2
3,0,5,3,5,3,5,3,0,2,6
3,0,5,3,5,3,5,3,6,2,0
3,0,5,3,6,3,5,2,0,3,5
3,0,5,5,3,3,3,5,2,0,6
3,0,5,5,3,3,3,5,2,6,0
3,0,5,6,3,3,2,5,3,0,5
3,0,6,3,5,2,5,3,5,3,0
3,0,6,5,3,2,3,5,3,5,0
3,2,0,3,5,6,3,5,5,3,0
3,2,0,5,3,6,5,3,3,5,0
3,2,3,0,5,3,6,5,5,0,3
3,2,3,5,0,3,5,6,0,5,3
3,2,3,5,6,3,5,0,0,5,3
3,2,3,6,5,3,0,5,5,0,3
3,2,5,0,3,5,6,3,3,0,5
3,2,5,3,0,5,3,6,0,3,5
3,2,5,3,6,5,3,0,0,3,5
3,2,5,6,3,5,0,3,3,0,5
3,2,6,3,5,0,3,5,5,3,0
3,2,6,5,3,0,5,3,3,5,0
3,3,0,2,5,5,3,0,6,3,5
3,3,0,3,5,5,2,0,5,3,6
3,3,0,3,5,5,2,6,5,3,0
3,3,0,5,2,5,0,3,3,6,5
3,3,0,5,3,5,0,2,3,5,6
3,3,0,5,3,5,6,2,3,5,0
3,3,0,5,5,5,0,6,3,3,2
3,3,0,5,5,5,6,0,3,3,2
3,3,0,5,6,5,0,5,3,2,3
3,3,0,6,5,5,5,0,2,3,3
3,3,2,0,5,3,5,0,6,5,3
3,3,2,5,0,3,0,5,5,6,3
3,3,2,5,6,3,0,5,5,0,3
3,3,2,6,5,3,5,0,0,5,3
3,3,3,0,5,2,5,0,5,6,3
3,3,3,0,5,2,5,6,5,0,3
3,3,3,5,0,2,0,5,6,5,3
3,3,3,5,0,2,6,5,0,5,3
3,3,5,0,2,0,5,3,3,5,6
3,3,5,0,3,0,5,2,3,6,5
3,3,5,0,3,6,5,2,3,0,5
3,3,5,0,5,0,5,6,3,2,3
3,3,5,0,5,6,5,0,3,2,3
3,3,5,0,6,0,5,5,3,3,2
3,3,5,2,0,0,3,5,5,3,6
3,3,5,2,6,0,3,5,5,3,0
3,3,5,3,0,0,2,5,6,3,5
3,3,5,3,0,6,2,5,0,3,5
3,3,5,5,0,0,6,5,2,3,3
3,3,5,5,0,6,0,5,2,3,3
3,3,5,6,0,0,5,5,3,3,2
3,3,5,6,2,0,5,3,3,5,0
3,3,6,0,5,5,5,0,2,3,3
3,3,6,2,5,5,3,0,0,3,5
3,3,6,5,0,5,0,5,3,2,3
3,3,6,5,2,5,0,3,3,0,5
3,5,0,2,3,3,5,0,6,5,3
3,5,0,3,2,3,0,5,5,6,3
3,5,0,3,3,3,0,6,5,5,2
3,5,0,3,3,3,6,0,5,5,2
3,5,0,3,5,3,0,2,5,3,6
3,5,0,3,5,3,6,2,5,3,0
3,5,0,3,6,3,0,3,5,2,5
3,5,0,5,3,3,2,0,3,5,6
3,5,0,5,3,3,2,6,3,5,0
3,5,0,6,3,3,3,0,2,5,5
3,5,2,0,3,5,3,0,6,3,5
