# positive_definite_k5_catalog=101272 selected_bases=5000 quadratic_rows=12005000 rank_five_labeled=157083 distinct_triangle_count_vectors=137296
4,3,3,3,5,6,1,5,1,1,5,2,3,6,1,3,4,4,6,7,7,8,9,10,10,10,11,13,23,31,33,36,37,39,48
6,3,3,1,5,6,1,2,6,1,4,5,5,1,3,3,4,4,6,7,8,9,10,10,10,10,11,13,24,27,36,38,40,49,49
4,4,3,6,1,5,1,1,6,1,3,3,6,4,1,3,4,4,4,8,9,9,9,9,9,10,11,14,14,14,14,37,39,40,42
5,1,5,1,3,5,1,2,1,1,5,3,5,6,5,3,3,3,4,6,6,6,8,10,10,10,11,15,15,15,15,28,38,39,48
3,2,5,3,6,6,1,2,1,1,2,1,6,6,6,4,4,4,4,6,7,7,7,7,7,10,11,17,20,21,24,39,40,49,50
6,5,2,2,3,6,1,5,1,1,5,1,3,6,3,4,4,4,4,6,7,10,10,10,10,10,11,17,21,24,28,29,34,48,49
2,4,3,1,6,5,2,6,0,1,3,3,5,6,2,0,0,0,1,6,7,7,9,9,10,10,11,17,21,26,29,29,37,39,40
6,6,2,4,2,6,1,5,1,1,6,1,3,6,2,4,4,4,4,6,7,7,7,7,7,10,11,18,20,22,24,45,46,49,50
3,5,3,1,5,5,2,5,0,1,2,3,5,6,3,0,1,1,1,6,6,6,10,10,10,10,11,21,21,28,28,38,38,39,39
1,3,5,5,3,4,3,3,5,1,3,5,6,2,0,0,1,1,1,6,9,9,10,10,10,10,11,23,23,32,33,33,34,44,48
5,5,3,3,3,6,1,2,1,1,3,1,6,6,5,4,4,4,4,6,7,10,10,10,10,10,11,23,24,33,33,34,34,48,49
5,5,3,6,3,6,1,5,1,1,6,1,3,6,2,4,4,4,4,6,7,10,10,10,10,10,11,24,24,34,34,48,48,49,49
3,3,4,1,5,6,1,4,2,1,5,1,4,6,2,4,4,6,6,7,7,9,9,9,10,10,12,12,13,18,23,27,34,45,45
5,4,3,1,6,5,1,4,4,1,3,4,5,3,1,3,4,9,9,9,9,9,10,10,10,10,12,13,13,34,36,42,43,44,45
4,3,5,3,1,5,1,1,3,1,4,5,6,3,5,3,4,8,9,9,10,10,10,10,10,10,13,13,14,32,36,38,39,39,44
6,6,1,5,2,6,1,5,2,1,5,4,3,5,1,4,4,4,6,6,6,6,10,10,10,10,13,13,20,27,27,48,48,48,50
3,3,5,3,0,5,1,1,5,1,4,5,6,3,5,1,1,1,1,3,4,8,10,10,10,10,13,14,15,32,33,39,39,44,47
5,3,3,5,1,6,1,5,2,1,3,4,5,5,1,3,4,6,6,6,8,9,9,10,10,10,13,15,15,27,33,38,39,39,47
5,3,3,3,1,5,1,1,3,1,5,4,5,5,5,3,3,8,9,10,10,10,10,10,10,10,13,15,15,33,33,36,38,44,47
