# feasible_labeled_k5=12087822 distinct_triangle_count_vectors=105930
4886823029229,4,5,3,5,6,2,1,0,2,6
4886823283056,5,5,3,4,6,2,1,0,2,6
4886839810605,4,5,3,6,6,2,1,0,2,6
4886840322417,6,5,3,4,6,2,1,0,2,6
4886856845808,5,5,3,5,6,2,1,0,2,6
5518284408743,2,6,2,2,6,2,5,0,3,5
5520515787249,2,6,2,3,6,2,6,0,5,3
5521573275813,2,6,2,3,6,2,4,0,3,5
5521573276528,2,6,2,4,6,2,5,0,5,3
5584856385053,2,5,3,2,6,2,3,0,2,6
5584872109922,2,5,3,3,6,2,2,0,2,6
5584872134514,6,6,2,2,6,2,2,0,5,3
5584923253296,3,6,2,2,6,2,5,0,5,3
5584940292657,3,6,2,2,6,2,6,0,5,3
5585930139357,2,5,3,2,6,2,4,0,2,6
5585945864037,2,5,3,4,6,2,2,0,2,6
5585980742510,4,6,2,2,6,2,4,0,5,3
5585997781936,4,6,2,2,6,2,5,0,5,3
5586014821297,4,6,2,2,6,2,6,0,5,3
5587003889501,2,5,3,2,6,2,5,0,2,6
5587019585063,3,5,3,2,6,2,2,0,2,6
5587019614055,2,5,3,5,6,2,2,0,2,6
5587037161640,3,6,2,2,6,2,3,0,3,5
5587037182449,5,6,2,2,6,2,3,0,5,3
5587054209384,3,6,2,2,6,2,4,0,3,5
5587054746481,5,6,2,2,6,2,4,0,5,3
5587070994920,3,6,2,2,6,2,5,0,3,5
5587072048177,5,6,2,2,6,2,5,0,5,3
5587087776296,3,6,2,2,6,2,6,0,3,5
5587089087601,5,6,2,2,6,2,6,0,5,3
5588093359976,2,5,3,6,6,2,2,0,2,6
5588111186418,6,6,2,2,6,2,3,0,5,3
5588128750450,6,6,2,2,6,2,4,0,5,3
5588146052146,6,6,2,2,6,2,5,0,5,3
5589203843629,3,6,2,3,6,2,4,0,5,3
5589218461538,2,5,3,3,6,2,3,0,2,6
5589220882992,3,6,2,3,6,2,5,0,5,3
5589237922353,3,6,2,3,6,2,6,0,5,3
5590278376301,3,6,2,4,6,2,4,0,5,3
5590293002082,2,5,3,3,6,2,4,0,2,6
5590295415664,3,6,2,4,6,2,5,0,5,3
5590308988773,2,5,3,4,6,2,3,0,2,6
5590312455025,3,6,2,4,6,2,6,0,5,3
5591367276386,2,5,3,3,6,2,5,0,2,6
5591367821480,3,6,2,3,6,2,3,0,3,5
5591369681968,3,6,2,5,6,2,5,0,5,3
5591382738791,2,5,3,5,6,2,3,0,2,6
5591386721329,3,6,2,5,6,2,6,0,5,3
5591418415464,3,6,2,3,6,2,4,0,3,5
5591452232168,3,6,2,3,6,2,5,0,3,5
5591469271592,3,6,2,3,6,2,6,0,3,5
5593564559205,2,5,3,4,6,2,4,0,2,6
5594640439656,3,6,2,4,6,2,4,0,3,5
5594674256360,3,6,2,4,6,2,5,0,3,5
5654648292910,4,6,2,2,6,2,2,0,3,5
5655739065901,4,5,3,2,6,2,2,0,2,6
5655773415598,4,6,2,2,6,2,3,0,3,5
5655807502702,4,6,2,2,6,2,4,0,3,5
5655807773166,4,6,2,2,6,2,5,0,3,5
5655808039470,4,6,2,2,6,2,6,0,3,5
5657906543086,4,6,2,3,6,2,3,0,5,3
5657924107118,4,6,2,3,6,2,4,0,5,3
5657941146544,4,6,2,3,6,2,5,0,5,3
5657958185905,4,6,2,3,6,2,6,0,5,3
5658999446382,4,6,2,4,6,2,4,0,5,3
5659016485808,4,6,2,4,6,2,5,0,5,3
5659033525169,4,6,2,4,6,2,6,0,5,3
5660087560366,4,6,2,3,6,2,3,0,3,5
5660090756144,4,6,2,5,6,2,5,0,5,3
5660107795505,4,6,2,5,6,2,6,0,5,3
5660138420590,4,6,2,3,6,2,4,0,3,5
5660171979246,4,6,2,3,6,2,5,0,3,5
5660188760622,4,6,2,3,6,2,6,0,3,5
5661181799537,4,6,2,6,6,2,6,0,5,3
5663360440942,4,6,2,4,6,2,4,0,3,5
5663394003630,4,6,2,4,6,2,5,0,3,5
5663410785006,4,6,2,4,6,2,6,0,3,5
5665542011694,4,6,2,5,6,2,5,0,3,5
5724441511473,5,6,2,2,6,2,2,0,3,5
5724458546736,5,5,3,2,6,2,2,0,2,6
5724458550834,6,6,2,2,6,2,2,0,3,5
5724509669553,5,6,2,2,6,2,3,0,3,5
5724527241585,5,6,2,2,6,2,4,0,3,5
5724527774193,5,6,2,2,6,2,5,0,3,5
5724528040497,5,6,2,2,6,2,6,0,3,5
5725532292657,6,5,3,2,6,2,2,0,2,6
5725583673522,6,6,2,2,6,2,3,0,3,5
5725600987506,6,6,2,2,6,2,4,0,3,5
5725601520114,6,6,2,2,6,2,5,0,3,5
5726623860263,3,5,3,2,6,2,3,0,2,6
5726626281969,5,6,2,3,6,2,3,0,5,3
5726640649959,3,5,3,2,6,2,4,0,2,6
5726643846001,5,6,2,3,6,2,4,0,5,3
5726657435495,3,5,3,2,6,2,5,0,2,6
5726661147697,5,6,2,3,6,2,5,0,5,3
5726674216871,3,5,3,2,6,2,6,0,2,6
5726678187121,5,6,2,3,6,2,6,0,5,3
5727714379309,4,5,3,2,6,2,3,0,2,6
5727719185265,5,6,2,4,6,2,4,0,5,3
5727736486961,5,6,2,4,6,2,5,0,5,3
5727748208365,4,5,3,2,6,2,4,0,2,6
5727748478829,4,5,3,2,6,2,5,0,2,6
5727753526385,5,6,2,4,6,2,6,0,5,3
5728804898352,5,5,3,2,6,2,3,0,2,6
5728807299249,5,6,2,3,6,2,3,0,3,5
5728811027505,5,6,2,5,6,2,5,0,5,3
5728822212336,5,5,3,2,6,2,4,0,2,6
5728822744944,5,5,3,2,6,2,5,0,2,6
5728828066929,5,6,2,5,6,2,6,0,5,3
5728857901425,5,6,2,3,6,2,4,0,3,5
5728891464177,5,6,2,3,6,2,5,0,3,5
5728908245553,5,6,2,3,6,2,6,0,3,5
5729895417393,6,5,3,2,6,2,3,0,2,6
5729896216305,6,5,3,2,6,2,4,0,2,6
5729902074993,5,6,2,6,6,2,6,0,5,3
5732079917745,5,6,2,4,6,2,4,0,3,5
5732113480497,5,6,2,4,6,2,5,0,3,5
5732130261873,5,6,2,4,6,2,6,0,3,5
5734261488625,5,6,2,5,6,2,5,0,3,5
5734278270001,5,6,2,5,6,2,6,0,3,5
5794268805287,3,5,3,3,6,2,2,0,2,6
5794269079911,3,5,3,4,6,2,2,0,2,6
5794269350375,3,5,3,5,6,2,2,0,2,6
